video_url,author,comment,likes,time
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@krasavchik8714,"My wife wanted to buy a new m5 MacBook Pro 16, after price hike decided to stay with trusted m1 air for now. So, what is good of a price hike if a lot less people going to buy it the first place?",0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@shanet7511,"I already bought my new ipad, macbook, iphone, apple watch and apple tv all within the last 12 months since I moved back to the US newly single. Hallelujah 😂",0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@BATEMAN-F1,Why don't you use  Iphone?,0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@zacharywalker524,I know it stems cuz I can't afford their products but when prices go up why do people continue to buy them? to me they were already too expensive. Now it's outrageous. How do they continue to make sales? I can't comprehend why people purchase them,0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@nicolasmarkham9656,"HomePod mini called HomePod mini, but you wrote HomePod as H lol",0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@AAM29290,I’m done with Apple,0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@thedevileater,NEVER BUY SHAPPLE😂😂,0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@xBinyWolf,Remember: price will fall but they will never fall to the price they should be. Nvidia sold the same 60 class card for 3 generation without batting an eye and increasing the price of it.,0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@ThomasSchick,…Thanks AI   😂😂😂,0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@Officer_Mike84,Crazy right?,0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@ipadmini1874,"Memory use to be cheap, & apple still charged an arm &a leg.",0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@jaime4421,Stop driving recklessly dude🤦🏽‍♂️,0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@dustydee9233,Considering how healthy Apple's profit margins likely are and they chose not to eat any price increases is crazy. Other companies increase $100-200 and take flack but Apple increases $100-500 its temporary lol.,0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@lo-kel,Fuck AI.,0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@jaeehovaa,All my homies hate AI,0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@JØK毛尺TheSlayer,What ab Apple Watches or AirPods,0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@nwaezekennedyibezimako,😢😢😢,0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@docky14_09,the homepods becoming even more unattainable xd,0,6 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@1javixD,Those jeans look great on him,0,6 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@nipunmovs,"wow, just in time for me to get an upgrade . Thank you Apple 🥹",0,6 hari yang lalu (diedit)
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@Caseysilveus,Happy I bought my MacBook Pro at the beginning of the summer! 🎉,0,6 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@mattsandine8319,"Companies love having a reason for a “temp” price hike. Bring it way up and when things settle, they’ll go down a percentage but never back to the same cost. People just get use to the new prices and deal with it. Time to take a stand and just not buy anything new for a long while",0,6 hari yang lalu
